index,value
0,0.435685
1,0.067940
2,0.486156
3,0.142382
4,0.754179
5,0.797135
6,0.470503
7,0.051854
8,0.425053
9,0.519275
10,0.339279
11,0.768361
12,0.575402
13,0.259148
14,0.735081
15,0.835639
16,0.410904
17,0.361849
18,0.757300
19,0.792691
20,0.755962
21,0.120400
22,0.780649
23,0.478723
24,0.901582
25,0.768079
26,0.585426
27,0.376009
28,0.195698
29,0.543254
30,0.758880
31,0.910299
32,0.057984
33,0.324603
34,0.617853
35,0.501519
36,0.289914
37,0.715372
38,0.539507
39,0.247740
40,0.337862
41,0.742301
42,0.501923
43,0.464120
44,0.544151
45,0.078764
46,0.392997
47,0.458955
48,0.181569
49,0.090518
50,0.944498
51,0.648157
52,0.064051
53,0.542523
54,0.841904
55,0.072260
56,0.223589
57,0.964361
58,0.092937
59,0.393774
60,0.242049
61,0.411256
62,0.356794
63,0.535099
64,0.650681
65,0.132041
66,0.205841
67,0.930342
68,0.146300
69,0.024777
70,0.744103
71,0.985065
72,0.364023
73,0.257853
74,0.229731
75,0.790792
76,0.688726
77,0.994475
78,0.930437
79,0.183227
80,0.919064
81,0.333505
82,0.426720
83,0.288076
84,0.852162
85,0.713416
86,0.066299
87,0.457631
88,0.070216
89,0.044999
90,0.609166
91,0.598852
92,0.501308
93,0.221467
94,0.978373
95,0.895223
96,0.118873
97,0.055681
98,0.552421
99,0.212941
