m, real, imag
0,0.300627,0
1,0.3006,0.0101266
2,0.300518,0.0202549
3,0.300381,0.0303868
4,0.30019,0.040524
5,0.299944,0.0506682
6,0.299643,0.0608213
7,0.299287,0.0709851
8,0.298876,0.0811613
9,0.298409,0.0913518
10,0.297887,0.101558
11,0.29731,0.111783
12,0.296676,0.122027
13,0.295986,0.132292
14,0.295239,0.142581
15,0.294436,0.152896
16,0.293575,0.163237
17,0.292656,0.173608
18,0.29168,0.18401
19,0.290645,0.194444
20,0.289551,0.204914
21,0.288398,0.215421
22,0.287185,0.225966
23,0.285911,0.236553
24,0.284576,0.247183
25,0.28318,0.257858
26,0.281722,0.268581
27,0.2802,0.279353
28,0.278615,0.290177
29,0.276966,0.301056
30,0.275251,0.31199
31,0.273471,0.322984
32,0.271624,0.334038
33,0.269709,0.345156
34,0.267726,0.35634
35,0.265674,0.367593
36,0.26355,0.378917
37,0.261356,0.390315
38,0.259089,0.401789
39,0.256748,0.413343
40,0.254333,0.424979
41,0.251842,0.436699
42,0.249273,0.448508
43,0.246626,0.460408
44,0.243899,0.472402
45,0.24109,0.484494
46,0.238199,0.496686
47,0.235224,0.508982
48,0.232162,0.521385
49,0.229013,0.5339
50,0.225775,0.546529
51,0.222446,0.559276
52,0.219024,0.572146
53,0.215508,0.585143
54,0.211894,0.598269
55,0.208182,0.61153
56,0.204369,0.624931
57,0.200453,0.638474
58,0.196431,0.652166
59,0.192301,0.666011
60,0.188061,0.680014
61,0.183708,0.69418
62,0.179239,0.708513
63,0.174651,0.723021
64,0.169942,0.737708
65,0.165108,0.752581
66,0.160147,0.767644
67,0.155055,0.782906
68,0.149828,0.798371
69,0.144463,0.814047
70,0.138956,0.829941
71,0.133304,0.846061
72,0.127502,0.862413
73,0.121546,0.879005
74,0.115431,0.895847
75,0.109153,0.912945
76,0.102708,0.93031
77,0.0960895,0.94795
78,0.089293,0.965875
79,0.0823129,0.984095
80,0.0751434,1.00262
81,0.0677785,1.02146
82,0.060212,1.04063
83,0.0524373,1.06014
84,0.0444476,1.08
85,0.0362355,1.10022
86,0.0277935,1.12082
87,0.0191138,1.14182
88,0.010188,1.16322
89,0.00100734,1.18505
90,-0.00843733,1.20731
91,-0.0181556,1.23003
92,-0.0281577,1.25322
93,-0.0384543,1.27691
94,-0.0490565,1.30111
95,-0.0599762,1.32585
96,-0.0712259,1.35114
97,-0.0828187,1.37701
98,-0.0947686,1.40348
99,-0.10709,1.43058
100,-0.119799,1.45834
101,-0.132911,1.48679
102,-0.146444,1.51595
103,-0.160417,1.54586
104,-0.174848,1.57655
105,-0.189759,1.60806
106,-0.205172,1.64043
107,-0.22111,1.6737
108,-0.237597,1.7079
109,-0.254661,1.7431
110,-0.272329,1.77933
111,-0.290632,1.81665
112,-0.309602,1.85512
113,-0.329273,1.8948
114,-0.349683,1.93574
115,-0.37087,1.97803
116,-0.392878,2.02173
117,-0.415753,2.06692
118,-0.439542,2.11369
119,-0.464299,2.16213
120,-0.490081,2.21234
121,-0.516951,2.26443
122,-0.544974,2.31851
123,-0.574223,2.37471
124,-0.604777,2.43316
125,-0.636721,2.49402
126,-0.670149,2.55745
127,-0.705162,2.62362
128,-0.741872,2.69272
129,-0.780401,2.76497
130,-0.820882,2.8406
131,-0.863463,2.91987
132,-0.908307,3.00306
133,-0.955594,3.09047
134,-1.00552,3.18247
135,-1.05832,3.27942
136,-1.11423,3.38177
137,-1.17352,3.48999
138,-1.23652,3.60463
139,-1.30358,3.72628
140,-1.37508,3.85564
141,-1.45147,3.99349
142,-1.53328,4.14071
143,-1.62109,4.29833
144,-1.71557,4.4675
145,-1.8175,4.64959
146,-1.92779,4.84616
147,-2.04749,5.05904
148,-2.17786,5.29041
149,-2.32038,5.54281
150,-2.47679,5.81929
151,-2.64923,6.12355
152,-2.84028,6.46002
153,-3.05308,6.83419
154,-3.29156,7.25285
155,-3.56063,7.7245
156,-3.86655,8.26
157,-4.21742,8.87334
158,-4.62387,9.58298
159,-5.10021,10.4137
160,-5.66607,11.3994
161,-6.34927,12.5884
162,-7.1904,14.051
163,-8.25127,15.8942
164,-9.63076,18.2892
165,-11.4976,21.5284
166,-14.1649,26.1542
167,-18.2879,33.3011
168,-25.5041,45.8057
