time,amplitude
0.0,0.683
1.0,0.306
2.0,-0.309
3.0,-0.455
4.0,-0.507
5.0,0.47
6.0,0.537
7.0,0.311
8.0,-0.207
9.0,-0.557
10.0,-0.277
11.0,0.237
12.0,0.498
13.0,0.403
14.0,-0.164
15.0,-0.414
16.0,-0.565
17.0,0.298
18.0,0.576
19.0,0.528
20.0,-0.245
21.0,-0.522
22.0,-0.383
23.0,0.458
24.0,0.59
25.0,0.445
26.0,-0.261
27.0,-0.517
28.0,-0.407
29.0,0.238
30.0,0.751
31.0,0.399
32.0,-0.233
33.0,-0.397
34.0,-0.206
35.0,0.172
36.0,0.702
37.0,0.613
38.0,-0.39
39.0,-0.686
40.0,-0.436
41.0,0.094
42.0,0.621
43.0,0.18
44.0,-0.012
45.0,-0.62
46.0,-0.396
47.0,0.296
48.0,0.58
49.0,0.469
50.0,-0.133
51.0,-0.588
52.0,-0.281
53.0,0.127
54.0,0.511
55.0,0.166
56.0,-0.331
57.0,-0.699
58.0,-0.367
59.0,0.101
60.0,0.633
61.0,0.505
62.0,-0.224
63.0,-0.589
64.0,-0.39
65.0,0.176
66.0,0.582
67.0,0.524
68.0,-0.075
69.0,-0.435
70.0,-0.472
71.0,-0.055
72.0,0.372
73.0,0.306
74.0,-0.236
75.0,-0.485
76.0,-0.473
77.0,0.111
78.0,0.421
79.0,0.285
80.0,-0.035
81.0,-0.535
82.0,-0.616
83.0,-0.042
84.0,0.629
85.0,0.429
86.0,-0.177
87.0,-0.724
88.0,-0.448
89.0,0.236
90.0,0.604
91.0,0.545
92.0,-0.242
93.0,-0.675
94.0,-0.529
95.0,0.032
96.0,0.577
97.0,0.49
98.0,-0.042
99.0,-0.47
100.0,-0.474
101.0,0.049
102.0,0.485
103.0,0.259
104.0,-0.194
105.0,-0.456
106.0,-0.647
107.0,-0.053
108.0,0.607
109.0,0.523
110.0,0.127
111.0,-0.618
112.0,-0.366
113.0,-0.103
114.0,0.727
115.0,0.261
116.0,-0.117
117.0,-0.394
118.0,-0.622
119.0,0.005
120.0,0.581
121.0,0.538
122.0,0.004
123.0,-0.336
124.0,-0.497
125.0,-0.019
126.0,0.59
127.0,0.311
128.0,-0.171
129.0,-0.703
130.0,-0.478
131.0,0.061
132.0,0.688
133.0,0.516
134.0,0.008
135.0,-0.472
136.0,-0.474
137.0,-0.176
138.0,0.506
139.0,0.607
140.0,0.149
141.0,-0.566
142.0,-0.632
143.0,-0.034
144.0,0.358
145.0,0.502
146.0,0.116
147.0,-0.464
148.0,-0.74
149.0,-0.142
150.0,0.408
151.0,0.674
152.0,-0.043
153.0,-0.407
154.0,-0.501
155.0,0.076
156.0,0.507
157.0,0.503
158.0,0.051
159.0,-0.347
160.0,-0.522
161.0,-0.146
162.0,0.509
163.0,0.677
164.0,0.131
165.0,-0.517
166.0,-0.437
167.0,-0.17
168.0,0.48
169.0,0.639
170.0,-0.021
171.0,-0.442
172.0,-0.684
173.0,-0.183
174.0,0.443
175.0,0.551
176.0,-0.034
177.0,-0.367
178.0,-0.719
179.0,-0.163
180.0,0.437
181.0,0.373
182.0,0.095
183.0,-0.555
184.0,-0.48
185.0,0.021
186.0,0.343
187.0,0.778
188.0,0.141
189.0,-0.399
190.0,-0.541
191.0,-0.083
192.0,0.457
193.0,0.573
194.0,0.407
195.0,-0.303
196.0,-0.59
197.0,-0.116
198.0,0.582
199.0,0.67
200.0,0.138
201.0,-0.491
202.0,-0.739
203.0,-0.049
204.0,0.464
205.0,0.62
206.0,0.174
207.0,-0.333
208.0,-0.679
209.0,-0.222
210.0,0.329
211.0,0.607
212.0,0.138
213.0,-0.405
214.0,-0.603
215.0,-0.174
216.0,0.385
217.0,0.452
218.0,0.043
219.0,-0.409
220.0,-0.625
221.0,-0.224
222.0,0.251
223.0,0.692
224.0,0.369
225.0,-0.232
226.0,-0.459
227.0,-0.303
228.0,0.286
229.0,0.8
230.0,0.183
231.0,-0.35
232.0,-0.646
233.0,-0.118
234.0,0.39
235.0,0.391
236.0,0.256
237.0,-0.235
238.0,-0.557
239.0,-0.266
240.0,0.461
241.0,0.58
242.0,0.144
243.0,-0.468
244.0,-0.396
245.0,-0.131
246.0,0.256
247.0,0.744
248.0,0.314
